date;holiday;commentary
2015-07-03;Independence Day (observed);Friday is a holiday as 4th July is on a Saturday
2015-09-07;Labor Day;First Monday in September
2015-10-12;Columbus Day;2nd Monday in October
2015-11-11;Veterans Day;Federal holiday. Only observed by 20% of private business
2015-11-26;Thanksgiving;Fourth Thursday in November
2015-11-27;Day after Thanksgiving;Day after 4th Thursday in November
2015-12-25;Christmas Day;
